LapNumber,is_lap_1,endpoint_TyreLife,Position,endpoint_Stint,LapTime_Seconds,stint_comp,endpoint_shouldpit,race_group
15.0,0,1,9.0,2,119.764,0.5,0,2022_R1.0
16.0,0,2,7.0,2,97.968,1.0,0,2022_R1.0
17.0,0,3,7.0,2,98.216,1.5,0,2022_R1.0
18.0,0,4,7.0,2,98.442,2.0,0,2022_R1.0
19.0,0,5,7.0,2,98.539,2.5,0,2022_R1.0
20.0,0,6,7.0,2,98.883,3.0,0,2022_R1.0
21.0,0,7,7.0,2,98.859,3.5,0,2022_R1.0
22.0,0,8,7.0,2,99.058,4.0,0,2022_R1.0
23.0,0,9,7.0,2,99.12,4.5,0,2022_R1.0
24.0,0,10,7.0,2,99.384,5.0,0,2022_R1.0
25.0,0,11,7.0,2,99.52,5.5,0,2022_R1.0
26.0,0,12,7.0,2,99.756,6.0,0,2022_R1.0
27.0,0,13,7.0,2,99.796,6.5,0,2022_R1.0
28.0,0,14,6.0,2,99.774,7.0,0,2022_R1.0
29.0,0,15,6.0,2,99.984,7.5,0,2022_R1.0
30.0,0,16,6.0,2,100.174,8.0,0,2022_R1.0
31.0,0,17,6.0,2,100.233,8.5,0,2022_R1.0
32.0,0,18,6.0,2,100.522,9.0,0,2022_R1.0
33.0,0,19,7.0,2,100.523,9.5,1,2022_R1.0
34.0,0,20,6.0,2,103.256,10.0,0,2022_R1.0
35.0,0,1,10.0,3,120.375,0.5,0,2022_R1.0
36.0,0,2,9.0,3,97.941,1.0,0,2022_R1.0
37.0,0,3,7.0,3,96.903,1.5,0,2022_R1.0
38.0,0,4,7.0,3,97.636,2.0,0,2022_R1.0
39.0,0,5,7.0,3,97.566,2.5,0,2022_R1.0
40.0,0,6,7.0,3,97.901,3.0,0,2022_R1.0
41.0,0,7,7.0,3,97.726,3.5,0,2022_R1.0
42.0,0,8,7.0,3,98.006,4.0,0,2022_R1.0
43.0,0,9,7.0,3,98.178,4.5,0,2022_R1.0
44.0,0,10,7.0,3,98.688,5.0,0,2022_R1.0
45.0,0,11,7.0,3,123.463,5.5,1,2022_R1.0
46.0,0,12,7.0,3,126.178,6.0,0,2022_R1.0
47.0,0,1,7.0,4,127.721,0.5,0,2022_R1.0
48.0,0,2,7.0,4,110.334,1.0,0,2022_R1.0
49.0,0,3,7.0,4,136.149,1.5,0,2022_R1.0
50.0,0,4,7.0,4,137.63,2.0,0,2022_R1.0
51.0,0,5,7.0,4,97.343,2.5,0,2022_R1.0
52.0,0,6,7.0,4,96.86,3.0,0,2022_R1.0
53.0,0,7,7.0,4,96.623,3.5,0,2022_R1.0
54.0,0,8,6.0,4,96.96,4.0,0,2022_R1.0
55.0,0,9,6.0,4,96.937,4.5,0,2022_R1.0
56.0,0,10,6.0,4,97.091,5.0,0,2022_R1.0
57.0,0,11,5.0,4,97.741,5.5,0,2022_R1.0
1.0,1,1,18.0,1,111.134,0.5,0,2022_R1.0
2.0,0,2,19.0,1,102.298,1.0,0,2022_R1.0
3.0,0,3,19.0,1,101.668,1.5,0,2022_R1.0
4.0,0,4,19.0,1,101.947,2.0,0,2022_R1.0
5.0,0,5,19.0,1,101.678,2.5,0,2022_R1.0
6.0,0,6,20.0,1,102.945,3.0,0,2022_R1.0
7.0,0,7,19.0,1,102.065,3.5,0,2022_R1.0
8.0,0,8,19.0,1,101.931,4.0,0,2022_R1.0
9.0,0,9,19.0,1,102.473,4.5,0,2022_R1.0
10.0,0,10,19.0,1,102.678,5.0,0,2022_R1.0
11.0,0,11,19.0,1,102.822,5.5,0,2022_R1.0
12.0,0,12,19.0,1,103.492,6.0,0,2022_R1.0
13.0,0,13,19.0,1,103.36,6.5,1,2022_R1.0
14.0,0,14,18.0,1,105.315,7.0,0,2022_R1.0
15.0,0,1,20.0,2,118.534,0.5,0,2022_R1.0
16.0,0,2,20.0,2,99.239,1.0,0,2022_R1.0
17.0,0,3,20.0,2,99.655,1.5,0,2022_R1.0
18.0,0,4,19.0,2,100.272,2.0,0,2022_R1.0
19.0,0,5,18.0,2,100.245,2.5,0,2022_R1.0
20.0,0,6,17.0,2,100.489,3.0,0,2022_R1.0
21.0,0,7,18.0,2,101.735,3.5,0,2022_R1.0
22.0,0,8,18.0,2,101.036,4.0,0,2022_R1.0
23.0,0,9,18.0,2,101.284,4.5,0,2022_R1.0
24.0,0,10,18.0,2,101.118,5.0,0,2022_R1.0
25.0,0,11,17.0,2,101.031,5.5,0,2022_R1.0
26.0,0,12,17.0,2,101.161,6.0,0,2022_R1.0
27.0,0,13,17.0,2,101.182,6.5,0,2022_R1.0
28.0,0,14,18.0,2,102.81,7.0,0,2022_R1.0
29.0,0,15,18.0,2,102.572,7.5,0,2022_R1.0
30.0,0,16,18.0,2,102.106,8.0,0,2022_R1.0
31.0,0,17,18.0,2,101.888,8.5,1,2022_R1.0
32.0,0,18,20.0,2,104.577,9.0,0,2022_R1.0
33.0,0,1,20.0,3,123.32,0.5,0,2022_R1.0
34.0,0,2,20.0,3,99.285,1.0,0,2022_R1.0
35.0,0,3,20.0,3,99.763,1.5,0,2022_R1.0
36.0,0,4,20.0,3,99.455,2.0,0,2022_R1.0
37.0,0,5,20.0,3,101.384,2.5,0,2022_R1.0
38.0,0,6,19.0,3,99.891,3.0,0,2022_R1.0
39.0,0,7,19.0,3,100.258,3.5,0,2022_R1.0
40.0,0,8,19.0,3,100.219,4.0,0,2022_R1.0
41.0,0,9,19.0,3,99.797,4.5,0,2022_R1.0
42.0,0,10,18.0,3,99.937,5.0,0,2022_R1.0
43.0,0,11,19.0,3,100.899,5.5,0,2022_R1.0
44.0,0,12,19.0,3,111.928,6.0,1,2022_R1.0
45.0,0,13,17.0,3,131.603,6.5,0,2022_R1.0
