year,raceId,driverId,LapNumber,Position,LapTime_Str,LapTime_Seconds,TyreLife,LapTime_Delta,Stint,ShouldPit
2022,Abu Dhabi Grand Prix,ocon,2,8,1:32.136,92.136,2,-4.828000000000003,1,0
2022,Abu Dhabi Grand Prix,ocon,3,8,1:31.385,91.385,3,-0.7509999999999906,1,0
2022,Abu Dhabi Grand Prix,ocon,4,8,1:31.427,91.42699999999999,4,0.04199999999998738,1,0
2022,Abu Dhabi Grand Prix,ocon,5,8,1:31.722,91.72200000000001,5,0.2950000000000159,1,0
2022,Abu Dhabi Grand Prix,ocon,52,8,1:29.611,89.611,6,-2.111000000000004,1,0
2022,Abu Dhabi Grand Prix,ocon,53,8,1:29.506,89.506,7,-0.10500000000000398,1,0
2022,Abu Dhabi Grand Prix,ocon,54,8,1:29.434,89.434,8,-0.07200000000000273,1,0
2022,Abu Dhabi Grand Prix,ocon,55,7,1:29.491,89.491,9,0.05700000000000216,1,0
2022,Abu Dhabi Grand Prix,ocon,56,7,1:29.725,89.725,10,0.23399999999999466,1,0
2022,Abu Dhabi Grand Prix,ocon,57,7,1:29.574,89.574,11,-0.15099999999999625,1,0
2022,Abu Dhabi Grand Prix,perez,1,2,1:33.251,93.251,1,0.0,1,0
2022,Abu Dhabi Grand Prix,perez,2,2,1:30.579,90.57900000000001,2,-2.671999999999997,1,0
2022,Abu Dhabi Grand Prix,perez,3,2,1:30.272,90.27199999999999,3,-0.30700000000001637,1,0
2022,Abu Dhabi Grand Prix,perez,4,2,1:30.879,90.879,4,0.6070000000000135,1,0
2022,Abu Dhabi Grand Prix,perez,5,2,1:30.927,90.92699999999999,5,0.04799999999998761,1,0
2022,Abu Dhabi Grand Prix,perez,53,3,1:29.096,89.096,6,-1.8309999999999889,1,0
2022,Abu Dhabi Grand Prix,perez,54,3,1:29.152,89.152,7,0.055999999999997385,1,0
2022,Abu Dhabi Grand Prix,perez,55,3,1:29.205,89.205,8,0.05299999999999727,1,0
2022,Abu Dhabi Grand Prix,perez,56,3,1:29.446,89.446,9,0.24099999999999966,1,0
2022,Abu Dhabi Grand Prix,perez,57,3,1:29.573,89.57300000000001,10,0.12700000000000955,1,0
2022,Abu Dhabi Grand Prix,ricciardo,1,14,1:40.193,100.193,1,0.0,1,0
2022,Abu Dhabi Grand Prix,ricciardo,2,13,1:32.513,92.513,2,-7.679999999999993,1,0
2022,Abu Dhabi Grand Prix,ricciardo,3,13,1:31.815,91.815,3,-0.6980000000000075,1,0
2022,Abu Dhabi Grand Prix,ricciardo,4,13,1:32.413,92.413,4,0.597999999999999,1,0
2022,Abu Dhabi Grand Prix,ricciardo,5,13,1:32.265,92.265,5,-0.14799999999999613,1,0
2022,Abu Dhabi Grand Prix,ricciardo,52,10,1:31.099,91.099,6,-1.1659999999999968,1,0
2022,Abu Dhabi Grand Prix,ricciardo,53,10,1:30.990,90.99,7,-0.10900000000000887,1,0
2022,Abu Dhabi Grand Prix,ricciardo,54,10,1:31.087,91.087,8,0.09700000000000841,1,0
2022,Abu Dhabi Grand Prix,ricciardo,55,10,1:31.218,91.218,9,0.13100000000000023,1,0
2022,Abu Dhabi Grand Prix,ricciardo,56,9,1:31.278,91.27799999999999,10,0.05999999999998806,1,0
2022,Abu Dhabi Grand Prix,ricciardo,57,9,1:31.114,91.114,11,-0.16399999999998727,1,0
2022,Abu Dhabi Grand Prix,russell,1,7,1:36.506,96.506,1,0.0,1,0
2022,Abu Dhabi Grand Prix,russell,2,7,1:31.786,91.786,2,-4.719999999999999,1,0
2022,Abu Dhabi Grand Prix,russell,3,7,1:31.189,91.189,3,-0.5970000000000084,1,0
2022,Abu Dhabi Grand Prix,russell,4,7,1:31.243,91.243,4,0.054000000000002046,1,0
2022,Abu Dhabi Grand Prix,russell,5,6,1:30.631,90.631,5,-0.6119999999999948,1,0
2022,Abu Dhabi Grand Prix,russell,52,6,1:28.981,88.981,6,-1.6500000000000057,1,0
2022,Abu Dhabi Grand Prix,russell,53,6,1:29.401,89.401,7,0.4200000000000017,1,0
2022,Abu Dhabi Grand Prix,russell,54,6,1:29.828,89.828,8,0.4270000000000067,1,0
2022,Abu Dhabi Grand Prix,russell,55,5,1:31.157,91.157,9,1.3289999999999935,1,0
2022,Abu Dhabi Grand Prix,russell,56,5,1:31.217,91.217,10,0.060000000000002274,1,0
2022,Abu Dhabi Grand Prix,russell,57,5,1:31.165,91.16499999999999,11,-0.05200000000000671,1,0
2022,Abu Dhabi Grand Prix,sainz,1,5,1:35.436,95.436,1,0.0,1,0
2022,Abu Dhabi Grand Prix,sainz,2,5,1:31.332,91.332,2,-4.104000000000013,1,0
2022,Abu Dhabi Grand Prix,sainz,3,5,1:30.946,90.946,3,-0.3859999999999957,1,0
2022,Abu Dhabi Grand Prix,sainz,4,4,1:30.987,90.987,4,0.04099999999999682,1,0
2022,Abu Dhabi Grand Prix,sainz,5,5,1:31.980,91.98,5,0.9930000000000092,1,0
2022,Abu Dhabi Grand Prix,sainz,52,5,1:29.291,89.291,6,-2.689000000000007,1,0
2022,Abu Dhabi Grand Prix,sainz,53,5,1:29.368,89.368,7,0.07699999999999818,1,0
2022,Abu Dhabi Grand Prix,sainz,54,5,1:29.919,89.919,8,0.5510000000000019,1,0
2022,Abu Dhabi Grand Prix,sainz,55,4,1:30.048,90.048,9,0.1290000000000049,1,0
2022,Abu Dhabi Grand Prix,sainz,56,4,1:29.595,89.595,10,-0.45300000000000296,1,0
2022,Abu Dhabi Grand Prix,sainz,57,4,1:29.980,89.98,11,0.3850000000000051,1,0
2022,Abu Dhabi Grand Prix,stroll,1,12,1:39.172,99.172,1,0.0,1,0
2022,Abu Dhabi Grand Prix,stroll,2,12,1:32.649,92.649,2,-6.522999999999996,1,0
2022,Abu Dhabi Grand Prix,stroll,3,12,1:31.740,91.74,3,-0.909000000000006,1,0
2022,Abu Dhabi Grand Prix,stroll,4,12,1:31.827,91.827,4,0.0870000000000033,1,0
2022,Abu Dhabi Grand Prix,stroll,5,12,1:31.986,91.986,5,0.15900000000000603,1,0
2022,Abu Dhabi Grand Prix,stroll,52,9,1:30.431,90.431,6,-1.5550000000000068,1,0
2022,Abu Dhabi Grand Prix,stroll,53,9,1:29.805,89.805,7,-0.6259999999999906,1,0
2022,Abu Dhabi Grand Prix,stroll,54,9,1:30.179,90.179,8,0.3739999999999952,1,0
2022,Abu Dhabi Grand Prix,stroll,55,9,1:30.363,90.363,9,0.1839999999999975,1,0
2022,Abu Dhabi Grand Prix,stroll,56,8,1:30.508,90.508,10,0.14499999999999602,1,0
2022,Abu Dhabi Grand Prix,stroll,57,8,1:31.844,91.844,11,1.3359999999999985,1,0
2022,Abu Dhabi Grand Prix,tsunoda,1,11,1:38.738,98.738,1,0.0,1,0
2022,Abu Dhabi Grand Prix,tsunoda,2,11,1:32.551,92.551,2,-6.186999999999998,1,0
2022,Abu Dhabi Grand Prix,tsunoda,3,11,1:31.604,91.604,3,-0.9470000000000027,1,0
2022,Abu Dhabi Grand Prix,tsunoda,4,11,1:31.789,91.789,4,0.18500000000000227,1,0
2022,Abu Dhabi Grand Prix,tsunoda,5,11,1:31.832,91.832,5,0.042999999999992156,1,0
2022,Abu Dhabi Grand Prix,tsunoda,52,12,1:31.024,91.024,6,-0.8079999999999927,1,0
2022,Abu Dhabi Grand Prix,tsunoda,53,12,1:31.318,91.318,7,0.29399999999999693,1,0
